date,gilt,bund,ust
2026-05-20,5.0391001647043785,3.2,4.57
2026-05-21,5.008076448084152,3.12,4.57
2026-05-22,4.943668701272067,3.1,4.56
2026-05-26,4.922442218597964,3.02,4.5
2026-05-27,4.908667959191254,3.0,4.48
2026-05-28,4.867794355610642,3.04,4.45
2026-05-29,4.8604466572133465,3.0,4.45
2026-06-01,4.94956031522978,3.03,4.47
2026-06-02,4.908426324463476,3.0,4.46
2026-06-03,4.96770092596111,3.06,4.49
2026-06-04,4.9553157902270435,3.08,4.47
2026-06-05,4.952549791954893,3.07,4.55
2026-06-08,4.988255718528314,3.11,4.56
2026-06-09,4.963440155187436,3.09,4.53
2026-06-10,4.97693431408608,3.1,4.55
2026-06-11,4.954848377486277,3.11,4.45
2026-06-12,4.89965447100484,3.03,4.48
2026-06-15,4.87672420080066,3.0,4.47
2026-06-16,4.862747143216998,2.98,4.43
2026-06-17,4.823479238455189,2.97,4.49
2026-06-18,4.800057707569514,2.98,4.46
2026-06-22,4.861984287932917,3.02,4.51
2026-06-23,4.80967697658888,2.98,4.5
